,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,PG9:IC50: by study
540,EN3D020,,B,chronic,,UNITED STATES,2007.0,MN516436,,Yes,EN3,non-panel,B.US.2007.EN3D020.MN516436,50.0,>25: Hutchinson2019
541,EN3D054,,B,chronic,,UNITED STATES,2007.0,MN516437,,Yes,EN3,non-panel,B.US.2007.EN3D054.MN516437,50.0,>25: Hutchinson2019
542,EN3D059,,B,chronic,,UNITED STATES,2007.0,MN516438,,Yes,EN3,non-panel,B.US.2007.EN3D059.MN516438,50.0,>25: Hutchinson2019
543,EN3D066,,B,chronic,,UNITED STATES,2007.0,MN516439,,Yes,EN3,non-panel,B.US.2007.EN3D066.MN516439,50.0,>25: Hutchinson2019
544,EN3D069,,B,chronic,,UNITED STATES,2007.0,MN516440,,Yes,EN3,non-panel,B.US.2007.EN3D069.MN516440,50.0,>25: Hutchinson2019
545,EN3D071,,B,chronic,CCR5,UNITED STATES,2007.0,MN516441,,Yes,EN3,non-panel,B.US.2007.EN3D071.MN516441,3.5967,3.5967: Hutchinson2019
546,EN3D079,,B,chronic,,UNITED STATES,2007.0,MN516442,,Yes,EN3,non-panel,B.US.2007.EN3D079.MN516442,50.0,>25: Hutchinson2019
547,FE,,07_BC,,,CHINA,,,,Yes,FE,non-panel,07_BC.CN..FE.,1.415,1.415: Wang2013
548,FE_N133Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N133Q.,2.479,2.479: Wang2013
549,FE_N142Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N142Q.,3.041,3.041: Wang2013
550,FE_N197D,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N197D.,16.123,16.123: Wang2013
551,FE_N289D,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N289D.,0.519,0.519: Wang2013
552,FE_N301Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N301Q.,0.875,0.875: Wang2013
553,FE_N339Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N339Q.,1.664,1.664: Wang2013
554,FE_N355Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N355Q.,0.8,0.8: Wang2013
555,FE_N392Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N392Q.,1.091,1.091: Wang2013
556,FE_N408Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N408Q.,1.775,1.775: Wang2013
557,FE_N411Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N411Q.,0.9,0.9: Wang2013
558,FE_N442Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N442Q.,1.65,1.65: Wang2013
559,FE_N448Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N448Q.,0.878,0.878: Wang2013
560,FE_N463Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N463Q.,2.544,2.544: Wang2013
561,FE_N466Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N466Q.,3.07,3.07: Wang2013
562,FE_N611Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N611Q.,1.797,1.797: Wang2013
563,FE_N625Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N625Q.,1.069,1.069: Wang2013
564,FE_N637Q,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N637Q.,1.342,1.342: Wang2013
565,FE_N88D,,07_BC,,,CHINA,,,,Yes,FE,mutant,07_BC.CN..FE_N88D.,0.988,0.988: Wang2013
566,GIL,,F1,chronic,,FRANCE,,AF321084,,Yes,,non-panel,F1.FR..GIL.AF321084,20.0,>10: Chaillon2012
567,GX11_13,3,01_AE,<12mo,CCR5,CHINA,2007.0,GU475042,GX11.13,Yes,,panel,01_AE.CN.2007.GX11_13.GU475042,0.51,0.51: Nie2020
568,GX13_7,3,01_AE,<12mo,CCR5,CHINA,2007.0,GU475037,GX13.7,Yes,,panel,01_AE.CN.2007.GX13_7.GU475037,1.52,1.52: Nie2020
569,GX142_2,3,01_AE,<3mo,CCR5,CHINA,2007.0,GU475031,GX142.2,Yes,,panel,01_AE.CN.2007.GX142_2.GU475031,9.34,9.34: Nie2020
570,GX155_55,3,01_AE,<3mo,CCR5,CHINA,2007.0,GU475043,GX155.55,Yes,,panel,01_AE.CN.2007.GX155_55.GU475043,2.16,2.16: Nie2020
571,GX2010_36,3,01_AE,<12mo,CCR5,CHINA,2007.0,GU475026,GX2010.36,Yes,,panel,01_AE.CN.2007.GX2010_36.GU475026,5.09,5.09: Nie2020
572,GX24_8,1,01_AE,<3mo,CCR5,CHINA,2007.0,GU475015,GX24.8,Yes,,panel,01_AE.CN.2007.GX24_8.GU475015,1.22,1.22: Nie2020
573,GX25_29,3,01_AE,<12mo,CCR5,CHINA,2007.0,GU475030,GX25.29,Yes,,panel,01_AE.CN.2007.GX25_29.GU475030,4.58,4.58: Nie2020
574,GX28_31,2,01_AE,<3mo,CCR5,CHINA,2007.0,GU475017,GX28.31,Yes,,panel,01_AE.CN.2007.GX28_31.GU475017,2.23,2.23: Nie2020
575,GX33M_25,2,07_BC,,CCR5,CHINA,,HQ326141,GX33m-25,Yes,,panel,07_BC.CN..GX33M_25.HQ326141,0.81,0.81: Nie2020
576,GX34_21,2,01_AE,<12mo,CCR5,CHINA,2007.0,GU475022,GX34.21,Yes,,panel,01_AE.CN.2007.GX34_21.GU475022,8.83,8.83: Nie2020
