,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,PG9:IC50: by study
219,6244_13_B5_4567,2,B,acute T/F,,UNITED STATES,1996.0,EU289191,"6244_13_B5_4576, 6244, 6244.13.B5.4576, 6244.13.B5.4567",Yes,6244,panel,B.US.1996.6244_13_B5_4567.EU289191,100.0,> 50: Sok2014;>100: Landais2017_dataset1;>10: vanGils2016;>25: Kong2015_dataset1;>25: Kong2015_dataset2;>50: Bricault2019_dataset3;>50: Doria-Rose2012;>50: Falkowska2014;>50: Hraber2014
220,6322_V4_C1,2,C,<12mo,,TANZANIA,2005.0,HM215326,"6322.V4.C1, 6322.v4.c1, 6322",Yes,6322,panel,C.TZ.2005.6322_V4_C1.HM215326,20.0,>10: Bricault2019_dataset1;>10: Wagh2016;>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
221,6405_V4_C34,,D,<12mo,,TANZANIA,2004.0,HM215327,"6405, 6405.v4.c34",Yes,6405,panel,D.TZ.2004.6405_V4_C34.HM215327,100.0,>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2014;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
222,6471_V1_C16,3,C,<12mo,,TANZANIA,2003.0,HM215328,"6471, 6471.v1.c16, 6471.V1.C16",Yes,6471,panel,C.TZ.2003.6471_V1_C16.HM215328,20.0,>10: Bricault2019_dataset1;>10: Wagh2016;>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
223,6480_V4_C25,2,CD,<12mo,,TANZANIA,2004.0,HM215329,"6480, 6480.v4.c25",Yes,6480,panel,CD.TZ.2004.6480_V4_C25.HM215329,200.0,>100: Landais2017_dataset1;>50: Bricault2019_dataset3;>50: Hraber2014
224,6535_3,1B or 2,B,<12mo,CCR5,UNITED STATES,1995.0,AY835438,"6535.3, SVPB5, 6535, NIH-ARP-11017",Yes,6535-P30,panel,B.US.1995.6535_3.AY835438,0.25911,0.052: Pancera2010;0.056: Landais2017_dataset2;0.135: Kong2015_dataset1;0.166: Bricault2019;0.166: Bricault2019_dataset2;0.16600: Doria-Rose2016;0.166: Pancera2013;0.173: Andrabi2015;0.176: Bricault2019_dataset3;0.176: Hraber2014;0.182: Kong2015_dataset2;0.22: Walker2009a;0.222: Falkowska2012;0.222: Georgiev2013_dataset2;0.288: Falkowska2014;0.288: Sok2014;0.288: vanGils2016;0.3155: Chuang2019;0.32: Doria-Rose2014;0.465: Chuang2013;0.465: Doria-Rose2012;0.465: Georgiev2013_dataset1;0.465: Huang2012a;0.465: Huang2016a_dataset1;0.465: McLellan2011;1.053: Walker2011;1.8: Landais2017_dataset1
225,6540_V4_C1,2,A1C,<12mo,,TANZANIA,2004.0,HM215330,"6540.v4.c1, 6540",Yes,6540,panel,A1C.TZ.2004.6540_V4_C1.HM215330,0.042421,0.023: Kong2015_dataset2;0.027: Kong2015_dataset1;0.03: Bricault2019;0.03: Bricault2019_dataset2;0.03000: Doria-Rose2016;0.03: Pancera2013;0.0325: Chuang2019;0.035: Chuang2013;0.035: Doria-Rose2012;0.035: Huang2012a;0.035: Huang2016a_dataset1;0.035: McLellan2011;0.066: Falkowska2014;0.066: Sok2014;0.066: vanGils2016;0.07: Bricault2019_dataset3;0.27: Landais2017_dataset1
226,6545_V4_C1,,A1C,<12mo,,TANZANIA,2005.0,HM215332,"6545.V4.C1, 6545.v4.c1.SG3, 6545, 6545.v4.c1",Yes,6545,panel,A1C.TZ.2005.6545_V4_C1.HM215332,0.06723,0.036: Bricault2019;0.036: Bricault2019_dataset2;0.03600: Doria-Rose2016;0.036: Pancera2013;0.037: Kong2015_dataset2;0.038: Kong2015_dataset1;0.0655: Chuang2019;0.084: Falkowska2014;0.084: Sok2014;0.084: vanGils2016;0.095: Doria-Rose2012;0.095: Huang2012a;0.095: Huang2016a_dataset1;0.095: McLellan2011;0.099: Bricault2019_dataset3;0.099: Hraber2014;0.16: Landais2017_dataset1
227,6631_V3_C10,3,C,<12mo,,TANZANIA,2004.0,HM215335,"6631, 6631.V3.C10, 6631.v3.c10",Yes,6631,panel,C.TZ.2004.6631_V3_C10.HM215335,20.0,>10: Bricault2019_dataset1;>10: Wagh2016;>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
228,6644_V2_C33,1B,C,<12mo,,TANZANIA,2004.0,HM215336,"6644, 6644.v2.c33, 6644.V2.C33",Yes,6644,panel,C.TZ.2004.6644_V2_C33.HM215336,0.027378,0.02: Bricault2019_dataset1;0.02: Wagh2016;0.025: Bricault2019;0.025: Bricault2019_dataset2;0.02500: Doria-Rose2016;0.025: Pancera2013;0.029: Chuang2019;0.033: Chuang2013;0.033: Doria-Rose2012;0.033: Huang2012a;0.033: Huang2016a_dataset1;0.033: McLellan2011
229,6785_V5_C14,2,C,<12mo,,TANZANIA,2005.0,HM215338,"6785.V5.C14, 6785.v5.c14, 6785",Yes,6785,panel,C.TZ.2005.6785_V5_C14.HM215338,0.015483,0.008: Bricault2019;0.008: Bricault2019_dataset2;0.008: Chuang2019;0.00800: Doria-Rose2016;0.008: Pancera2013;0.023: Huang2012a;0.023: Huang2016a_dataset1;0.03: Bricault2019_dataset1;0.03: Wagh2016;<0.023: Chuang2013;<0.023: Doria-Rose2012;<0.023: McLellan2011
230,6811_V7_C18,2,CD,<12mo,,TANZANIA,2006.0,HM215340,"6811, 6811.v7.c18",Yes,6811,panel,CD.TZ.2006.6811_V7_C18.HM215340,100.0,> 50: Sok2014;>100: Landais2017_dataset1;>25: Kong2015_dataset1;>25: Kong2015_dataset2;>50: Bricault2019_dataset3;>50: Falkowska2014;>50: Hraber2014
231,6838_V1_C35,2,C,acute,,TANZANIA,2003.0,HM215341,"6838.v1.c35, 6838, 6838.V1.C35",Yes,6838,panel,C.TZ.2003.6838_V1_C35.HM215341,0.0091678,0.006: Bricault2019;0.006: Bricault2019_dataset2;0.00600: Doria-Rose2016;0.006: Pancera2013;0.0105: Chuang2019;0.02: Bricault2019_dataset1;0.02: Wagh2016
232,6952_V1_C20,2,41_CD,<12mo,,TANZANIA,2003.0,HM215343,"6952, 6952.v1.c20",Yes,6952,panel,41_CD.TZ.2003.6952_V1_C20.HM215343,100.0,> 50: Sok2014;>100: Landais2017_dataset1;>10: vanGils2016;>25: Kong2015_dataset1;>25: Kong2015_dataset2;>50: Bricault2019_dataset3;>50: Doria-Rose2012;>50: Falkowska2014;>50: Hraber2014
233,6980_V0_C31,2,C,acute,,TANZANIA,2003.0,HM215344,6980.v0.c31,Yes,6980,panel,C.TZ.2003.6980_V0_C31.HM215344,0.06,0.06: Bricault2019_dataset1;0.06: Wagh2016
234,703010010_C4,2,C,acute,,MALAWI,2006.0,KC894105,"CHV0008273_703010010_F12, Ce703010010_C4",Yes,703010010,panel,C.MW.2006.703010010_C4.KC894105,0.01,0.01: Bricault2019_dataset1;0.01: Wagh2016
235,703010054_2A2,2,C,acute T/F,,MALAWI,2007.0,FJ443808,"CE703010054_2A2, Ce703010054_2A2, pCenvPt703010054_2A2, CE703010054",Yes,703010054,panel,C.MW.2007.703010054_2A2.FJ443808,0.02259,0.003: Lee2017;0.015: Kong2015_dataset2;0.018: Falkowska2014;0.018: Kong2015_dataset1;0.018: Sok2014;0.018: vanGils2016;0.022: Bricault2019_dataset3;0.022: Hraber2014;0.03: Bricault2019_dataset1;0.03: Wagh2016;0.38: Landais2017_dataset1
236,703010131_1E2,2,C,<3mo,,MALAWI,2007.0,KC894107,Ce703010131_1E2,Yes,703010131,panel,C.MW.2007.703010131_1E2.KC894107,0.44,0.44: Bricault2019_dataset1;0.44: Wagh2016
237,703010200_1E5,2,C,acute T/F,,MALAWI,2007.0,FJ443999,"7030102001E5_Rev-, 7030102001E5(RevM), 703010200_1E5_Rev-, 7030102001E5(Rev.), 7030102001E5_REV_, 7030102001E5NOREV, 7030102001, 7030102001E5(Rev-)",Yes,703010200,panel,C.MW.2007.703010200_1E5.FJ443999,100.0,> 50: Sok2014;>100: Landais2017_dataset1;>10: Bricault2019_dataset1;>10: Wagh2016;>25: Kong2015_dataset1;>25: Kong2015_dataset2;>50: Bricault2019_dataset3;>50: Falkowska2014;>50: Hraber2014
238,703010217_B6,2,C,acute T/F,,MALAWI,2007.0,KC894109,"pCenvPt703010217_B6, CE703010217_B6, CE0217, CE703010217.B6",Yes,703010217,panel,C.MW.2007.703010217_B6.KC894109,0.0096583,0.005: Webb2015;0.007: Chuang2019;0.007: Kong2015_dataset1;0.008: Kong2015_dataset2;0.01: Decamp2014;0.02: Bricault2019_dataset1;0.02: Wagh2016
239,703010228_1C4,2,C,<3mo,,MALAWI,2007.0,FJ444031,"CE703010228_1C4, Ce703010228_1C4, pCenvPt703010228_1C4",Yes,703010228,panel,C.MW.2007.703010228_1C4.FJ444031,1.97,1.97: Bricault2019_dataset1;1.97: Wagh2016
240,703357_C2,2,01_AE,acute,CCR5,THAILAND,2005.0,JN944658,"703357_2, 703357.C02, 703357.2, 703357, 703357.c02, 703357_C02",Yes,AA118,panel,01_AE.TH.2005.703357_C2.JN944658,2.92606,1.157: Bricault2019_dataset3;7.4: Chenine2018
241,704010042_2E5,,C,acute,,SOUTH AFRICA,2007.0,KC894113,"CE704010042_2E5, pCH042.c, 704010042_TF, 704010042",Yes,704010042,panel,C.ZA.2007.704010042_2E5.KC894113,0.002,0.002: Bricault2019_dataset1;0.002: Wagh2016
242,704010069_C6,2,C,<3mo,,SOUTH AFRICA,2007.0,KC894114,"Ce704010069_C6, CHV0008392_704010069_F2",Yes,704010069,panel,C.ZA.2007.704010069_C6.KC894114,0.03,0.03: Bricault2019_dataset1;0.03: Wagh2016
243,704010083_B8,2,C,acute,,SOUTH AFRICA,2007.0,FJ443671,"pCenvPt704010083_B8, Ce704010083_B8, CE704010083_B8",Yes,704010083,panel,C.ZA.2007.704010083_B8.FJ443671,0.31,0.31: Bricault2019_dataset1;0.31: Wagh2016
244,704809221_1B3,2,C,acute T/F,,SOUTH AFRICA,2007.0,FJ444103,"CE704809221_1B3, pCenvPt704809221_1B, Ce704809221_1B3, CE704809221",Yes,704809221,panel,C.ZA.2007.704809221_1B3.FJ444103,0.046883,0.018: Landais2017_dataset1;0.034: Kong2015_dataset1;0.035: Kong2015_dataset2;0.037: Bricault2019_dataset3;0.037: Hraber2014;0.06: Falkowska2014;0.06: Sok2014;0.06: vanGils2016;0.09: Bricault2019_dataset1;0.09: Wagh2016
245,704810053_2B7,2,C,acute,,SOUTH AFRICA,2007.0,KC894119,"CHV0010337_704810053_2G6, Ce704810053_2B7",Yes,704810053,panel,C.ZA.2007.704810053_2B7.KC894119,0.16,0.16: Bricault2019_dataset1;0.16: Wagh2016
246,705010067_TF,3,C,acute,CCR5,SOUTH AFRICA,2007.0,KC156125,"705010067, 705010067_CH067_TF",Yes,705010067,panel,C.ZA.2007.705010067_TF.KC156125,0.02,0.02: Bricault2019_dataset1;0.02: Wagh2016
247,705010185_TF,2,C,acute,CCR5,SOUTH AFRICA,2007.0,KC156129,"705010185_CH185_TF, 705010185",Yes,705010185,panel,C.ZA.2007.705010185_TF.KC156129,3.27,3.27: Bricault2019_dataset1;3.27: Wagh2016
248,705010198_TF,2,C,acute,CCR5,SOUTH AFRICA,2007.0,KC156130,"CH198, 705010198, 705010198_CH198_TF",Yes,705010198,panel,C.ZA.2007.705010198_TF.KC156130,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
249,706010164_1A7,2,C,<3mo,,SOUTH AFRICA,2007.0,FJ444076,CE706010164_1A7,Yes,706010164,panel,C.ZA.2007.706010164_1A7.FJ444076,0.14,0.14: Bricault2019_dataset1
250,706010164_1A7_REV,2,C,<3mo,,SOUTH AFRICA,2007.0,FJ444076,"706010164_1A7_Rev-, 7060101641A7(Rev-), 7060101641A7_Rev-, 7060101641A7 (Rev-), 7060101641A7_REV_",Yes,706010164,panel,C.ZA.2007.706010164_1A7_REV.FJ444076,0.14,0.14: Wagh2016
251,7165_18,2,B,<12mo,CCR5,UNITED STATES,1994.0,AY835437,"7165.18, 7165.18.SG3, SVPB4, 7165",Yes,7165-P23,panel,B.US.1994.7165_18.AY835437,100.0,>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Crooks2015;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Falkowska2012;>50: Georgiev2013_dataset1;>50: Georgiev2013_dataset2;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
252,722_G4_16,2,C,acute,,SOUTH AFRICA,2007.0,JN967798,SO722_G4_16,Yes,503_13503_SO722,panel,C.ZA.2007.722_G4_16.JN967798,0.05,0.05: Bricault2019_dataset1;0.05: Wagh2016
253,731027_AA104A_RH5,,01_AE,<12mo,CCR5,THAILAND,2006.0,JX447986,"AA104a_RH5, 731027",Yes,AA104,panel,01_AE.TH.2006.731027_AA104A_RH5.JX447986,0.18,0.18: Chenine2018
254,816763_C02,,01_AE,acute,CCR5,THAILAND,2006.0,JN944659,"816763.02, 816763.c02, 816763",Yes,AA119,panel,01_AE.TH.2006.816763_C02.JN944659,50.0,>25: Chenine2018
255,816769_AA107A_WG8,,01_AE,<12mo,CCR5,THAILAND,2005.0,JX448026,"816769, AA107a_wg8",Yes,AA107,panel,01_AE.TH.2005.816769_AA107A_WG8.JX448026,0.04,0.04: Chenine2018
256,89_6,2,B,chronic,CCR5 CXCR4,UNITED STATES,1989.0,U39362,"89.6, 89, 89_6_DG, 89.6.DG",Yes,P896,panel,B.US.1989.89_6.U39362,200.0,>100: Landais2017_dataset2;>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Falkowska2012;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
257,89_F1_2_25,2,CD,acute,,TANZANIA,,HM215349,"89_F1, 89.F1_2_25, 89-F1_2_25",Yes,89,panel,CD.TZ..89_F1_2_25.HM215349,0.6864,0.023: Lee2017;0.402: Falkowska2014;0.402: Sok2014;0.402: vanGils2016;0.551: Kong2015_dataset1;0.668: Bricault2019_dataset3;1.28: Kong2015_dataset2;70: Landais2017_dataset1
258,9004SS_A3_4,2,A1,acute T/F,,UGANDA,2007.0,HM215350,9004SS,Yes,9004,panel,A1.UG.2007.9004SS_A3_4.HM215350,0.051327,0.023: Kong2015_dataset1;0.04: Kong2015_dataset2;0.05: Falkowska2014;0.088: Bricault2019_dataset3;0.088: Hraber2014
259,928_28,2,02_AG,<12mo,CCR5,COTE D'IVOIRE,1999.0,EU513199,"NIH-ARP-11608, 928-28, 928.28",Yes,928,panel,02_AG.CI.1999.928_28.EU513199,0.058917,0.038: Bricault2019;0.038: Bricault2019_dataset2;0.03800: Doria-Rose2016;0.038: Pancera2013;0.049: Andrabi2015;0.049: Chuang2019;0.055: Landais2017_dataset1;0.059: Kong2015_dataset2;0.06: Chuang2013;0.06: Doria-Rose2012;0.06: Huang2012a;0.06: Huang2016a_dataset1;0.06: McLellan2011;0.082: Falkowska2014;0.082: Sok2014;0.082: vanGils2016;0.101: Bricault2019_dataset3;0.104: Kong2015_dataset1
260,92BR020,1 or 2,B,chronic,,BRAZIL,1992.0,AY669718,,Yes,92BR020,panel,B.BR.1992.92BR020.AY669718,200.0,>100: Landais2017_dataset2;>10: Chaillon2012;>10: Matz2013;>50: Walker2009a;>50: Walker2011
261,92BR025_9,1B or 2,C,<12mo,CCR5,BRAZIL,1992.0,U15121,"BR025_9, 92BR025.9, BR025.9",Yes,BR025,panel,C.BR.1992.92BR025_9.U15121,0.028864,0.018: Falkowska2012;0.018: Georgiev2013_dataset2;0.019: Bricault2019;0.019: Bricault2019_dataset2;0.01900: Doria-Rose2016;0.019: Pancera2013;0.0315: Chuang2019;0.044: Chuang2013;0.044: Doria-Rose2012;0.044: Georgiev2013_dataset1;0.044: Huang2012a;0.044: Huang2016a_dataset1;0.044: McLellan2011
262,92RW008,,A1,chronic,,RWANDA,1992.0,AY669703,,Yes,RW008,panel,A1.RW.1992.92RW008.AY669703,0.007746,0.006: Walker2011;0.01: Walker2009a
263,92RW009,,A1C,chronic,,RWANDA,1992.0,AY669700,"92RW009.6, 92RW009_06",Yes,RW009,panel,A1C.RW.1992.92RW009.AY669700,0.03873,0.03: Walker2009a;0.05: Walker2011
264,92RW020_2,2,A1,<12mo,CCR5,RWANDA,1992.0,EU855131,"RW020.2, 92RW020.2, RW020, RW020_2, 92RW020, 92.RW020",Yes,RW020,panel,A1.RW.1992.92RW020_2.EU855131,0.11415,0.052: Falkowska2012;0.052: Georgiev2013_dataset2;0.08: Walker2009a;0.103: Chuang2013;0.103: Doria-Rose2012;0.103: Georgiev2013_dataset1;0.103: Huang2012a;0.103: Huang2016a_dataset1;0.103: McLellan2011;0.11: Doria-Rose2014;0.1135: Chuang2019;0.124: Bricault2019;0.124: Bricault2019_dataset2;0.12400: Doria-Rose2016;0.124: Pancera2013;0.14: Chaillon2012;0.14: Matz2013;0.141: Walker2011;0.181: Andrabi2015;0.37: Landais2017_dataset2
265,92RW024,,A1CD,chronic,,RWANDA,1992.0,AY669699,,Yes,RW024,panel,A1CD.RW.1992.92RW024.AY669699,0.2155,0.18: Walker2009a;0.258: Walker2011
266,92RW026,,A1C,chronic,CCR5,RWANDA,1992.0,AY669702,,Yes,RW026,panel,A1C.RW.1992.92RW026.AY669702,0.21043,0.164: Walker2011;0.27: Walker2009a
267,92TH021,2,01_AE,chronic,CCR5,THAILAND,1992.0,AY669775,,Yes,TH021,panel,01_AE.TH.1992.92TH021.AY669775,0.0498,0.019: Landais2017_dataset2;0.033: Landais2017_dataset1;0.059: Walker2011;0.09: Walker2009a;0.092: Sok2016;>10: Chaillon2012;>10: Matz2013
268,92UG001,,D,chronic,,UGANDA,1992.0,AY669754,,Yes,UG001,panel,D.UG.1992.92UG001.AY669754,41.79,41.79: Walker2009a;>50: Walker2011
269,92UG005,,D,chronic,CCR5,UGANDA,1992.0,AY669758,,Yes,UG005,panel,D.UG.1992.92UG005.AY669758,100.0,>50: Sok2016;>50: Walker2009a;>50: Walker2011
270,92UG031,,A1,chronic,,UGANDA,1992.0,AY669701,UG031,Yes,UG031,panel,A1.UG.1992.92UG031.AY669701,3.33218,3.08: Walker2009a;3.605: Walker2011
271,92UG035,,A1D,,CCR5,UGANDA,1992.0,AY669755,,Yes,UG035,panel,A1D.UG.1992.92UG035.AY669755,1.18,1.18: Sok2016
272,92UG038,,D,,CXCR4,UGANDA,1992.0,AY669759,,Yes,UG038,panel,D.UG.1992.92UG038.AY669759,100.0,>50: Sok2016
273,92UG046,,D,chronic,CXCR4,UGANDA,1992.0,AY623599,,Yes,UG046,panel,D.UG.1992.92UG046.AY623599,0.44098,0.072: Sok2016;0.64: Walker2009a;1.861: Walker2011
274,92US715,,B,chronic,CCR5,UNITED STATES,1992.0,U08451,,Yes,715,panel,B.US.1992.92US715.U08451,1.3,1.3: Crooks2015
275,93IN905,2,C,chronic,CCR5,INDIA,1993.0,AY669742,,Yes,93IN905,panel,C.IN.1993.93IN905.AY669742,0.44145,0.03: Walker2009a;0.035: Walker2011;1.1: Landais2017_dataset2;3.81: Chaillon2012;3.81: Matz2013
276,93MW959,,C,chronic,CCR5,MALAWI,1993.0,AY669739,,Yes,959,panel,C.MW.1993.93MW959.AY669739,0.046476,0.04: Walker2009a;0.054: Walker2011
277,93RW029,,A1,chronic,,RWANDA,1993.0,AY669697,,Yes,RW029,panel,A1.RW.1993.93RW029.AY669697,0.90615,0.69: Walker2011;1.19: Walker2009a
278,93TH305,,B,chronic,,THAILAND,1993.0,AY669729,,Yes,TH305,panel,B.TH.1993.93TH305.AY669729,4.11071,2.08: Walker2009a;8.124: Walker2011
279,93UG065,,D,,CXCR4,UGANDA,1993.0,HM215353,,Yes,UG065,panel,D.UG.1993.93UG065.HM215353,100.0,>50: Sok2016
280,93UG070,,D,,CXCR4,UGANDA,1993.0,AY669756,,Yes,UG070,panel,D.UG.1993.93UG070.AY669756,0.006,0.006: Sok2016
281,93UG077,,A1,chronic,,UGANDA,1993.0,AY669704,,Yes,UG077,panel,A1.UG.1993.93UG077.AY669704,100.0,>50: Walker2009a;>50: Walker2011
282,93UG082,,D,,CCR5,UGANDA,1993.0,AY669750,,Yes,UG082,panel,D.UG.1993.93UG082.AY669750,0.028,0.028: Sok2016
283,94KE105,,A1C,chronic,CCR5,KENYA,1994.0,AY669768,,Yes,KE105,panel,A1C.KE.1994.94KE105.AY669768,33.4602,29.56: Walker2009a;37.875: Walker2011
284,94UG103,2,A1,chronic,,UGANDA,1994.0,AY669705,,Yes,UG103,panel,A1.UG.1994.94UG103.AY669705,0.59564,0.24: Walker2009a;0.29: Landais2017_dataset2;0.34: Walker2011;1.78: Chaillon2012;1.78: Matz2013
285,94UG114,,D,chronic,CCR5,UGANDA,1994.0,AY494966,,Yes,114,panel,D.UG.1994.94UG114.AY494966,40.608,40.608: Walker2011;>50: Sok2016;>50: Walker2009a
286,94UG118,,D,,CCR5,UGANDA,1994.0,AY669751,,Yes,94UG118,panel,D.UG.1994.94UG118.AY669751,0.158,0.158: Sok2016
287,96ZM651_02,2,C,<12mo,,ZAMBIA,1996.0,AF286224,"96ZM651, 96ZM651.02",Yes,651,panel,C.ZM.1996.96ZM651_02.AF286224,100.0,>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
288,97ZA009,,C,,CCR5,SOUTH AFRICA,1997.0,AY118166,,Yes,97ZA009,panel,C.ZA.1997.97ZA009.AY118166,0.085,0.085: Sok2016
289,98CN006,,08_BC,chronic,CCR5,CHINA,1998.0,AY669745,,Yes,CN006,panel,08_BC.CN.1998.98CN006.AY669745,100.0,>50: Walker2009a;>50: Walker2011
290,98CN009,,07_BC,chronic,,CHINA,1998.0,AY669747,,Yes,CN009,panel,07_BC.CN.1998.98CN009.AY669747,0.63006,0.371: Walker2011;1.07: Walker2009a
291,98IN022,,C,chronic,CCR5,INDIA,1998.0,AY669748,,Yes,IN022,panel,C.IN.1998.98IN022.AY669748,0.0026207,0.001: Sok2016;0.003: Walker2011;0.006: Walker2009a
292,98TZ017,,C,,CCR5,TANZANIA,1998.0,AF286235,,Yes,TZ017,panel,C.TZ.1998.98TZ017.AF286235,0.077,0.077: Sok2016
293,98_F4_H5_13,3,C,<12mo,,TANZANIA,2000.0,HQ659642,"98-F4_H5-13, 98-F4_H5_13",Yes,98F4,panel,C.TZ.2000.98_F4_H5_13.HQ659642,20.0,>10: Bricault2019_dataset1;>10: Wagh2016
294,A03349M1_VRC4A,,D,,,UGANDA,1999.0,HM215356,"A03349M1.vrc4a, A03349M1",Yes,A03349,panel,D.UG.1999.A03349M1_VRC4A.HM215356,100.0,>50: Acharya2013;>50: Bricault2019;>50: Bricault2019_dataset2;>50: Chuang2013;>50: Chuang2019;>50: Doria-Rose2012;>50: Doria-Rose2016;>50: Huang2012a;>50: Huang2016a_dataset1;>50: McLellan2011;>50: Pancera2013
295,A07412M1_VRC12,2,D,,CCR5,UGANDA,1999.0,HM215357,"A07412M1, A07412M1.vrc12",Yes,A07412,panel,D.UG.1999.A07412M1_VRC12.HM215357,0.67023,0.035: Landais2017_dataset1;0.697: Bricault2019_dataset3;0.697: Hraber2014;0.697: Kong2015_dataset1;0.744: Falkowska2014;0.744: Sok2014;0.744: vanGils2016;0.773: Bricault2019;0.773: Bricault2019_dataset2;0.773: Pancera2013;1.55: Kong2015_dataset2;2.3515: Chuang2019
296,AC10_29,2,B,acute,CCR5,UNITED STATES,1998.0,AY835446,"AC10.0.29, AC10, AC10_0_29, SVPB13, AC10.29.SG3, NIH-ARP-11024, AC10.29, AC10.0",Yes,AC10,panel,B.US.1998.AC10_29.AY835446,0.058548,0.012: Falkowska2012;0.012: Georgiev2013_dataset2;0.018: Pancera2010;0.026: Crooks2015;0.031: Bricault2019;0.031: Bricault2019_dataset2;0.03100: Doria-Rose2016;0.031: Pancera2013;0.0545: Chuang2019;0.06: Doria-Rose2014;0.065: Kong2015_dataset2;0.078: Chuang2013;0.078: Doria-Rose2012;0.078: Georgiev2013_dataset1;0.078: Huang2012a;0.078: Huang2016a_dataset1;0.078: McLellan2011;0.097: Falkowska2014;0.097: Sok2014;0.097: vanGils2016;0.117: Bricault2019_dataset3;0.117: Hraber2014;0.12: Landais2017_dataset1;0.15: Kong2015_dataset1;0.23: Miglietta2014
297,ADA,,B,chronic,,UNITED STATES,1986.0,AY426119,"ADA_DG, ADA.DG",Yes,ADA,panel,B.US.1986.ADA.AY426119,0.23545,0.128: Falkowska2012;0.128: Georgiev2013_dataset2;0.14: Crooks2015;0.17: Landais2017_dataset2;0.216: Bricault2019;0.216: Bricault2019_dataset2;0.21600: Doria-Rose2016;0.216: Pancera2013;0.279: Chuang2019;0.342: Chuang2013;0.342: Doria-Rose2012;0.342: Georgiev2013_dataset1;0.342: Huang2012a;0.342: Huang2016a_dataset1;0.342: McLellan2011
298,AIIMS731_73105B,,C,<12mo,,INDIA,2017.0,MT366192,73105b,Yes,AIIMS731,non-panel,C.IN.2017.AIIMS731_73105B.MT366192,0.062,0.062: Mishra2020
299,AIIMS731_73105C,,C,<12mo,,INDIA,2017.0,MT366193,73105c,Yes,AIIMS731,non-panel,C.IN.2017.AIIMS731_73105C.MT366193,0.063,0.063: Mishra2020
300,AIIMS731_73105D,,C,<12mo,,INDIA,2017.0,MT366194,73105d,Yes,AIIMS731,non-panel,C.IN.2017.AIIMS731_73105D.MT366194,0.041,0.041: Mishra2020
301,AIIMS731_73105E,,C,<12mo,,INDIA,2017.0,MT366195,73105e,Yes,AIIMS731,non-panel,C.IN.2017.AIIMS731_73105E.MT366195,0.077,0.077: Mishra2020
302,AIIMS731_73105H,,C,<12mo,,INDIA,2017.0,MT366196,73105h,Yes,AIIMS731,non-panel,C.IN.2017.AIIMS731_73105H.MT366196,9.362,9.362: Mishra2020
303,AIIMS731_73106F,,C,<12mo,,INDIA,2017.0,MT366197,73106f,Yes,AIIMS731,non-panel,C.IN.2017.AIIMS731_73106F.MT366197,20.0,>10: Mishra2020
304,APV_13,,B,<12mo,CCR5,UNITED STATES,2001.0,DQ869019,,Yes,APV_13,panel,B.US.2001.APV_13.DQ869019,100.0,>50: Walker2009a;>50: Walker2011
305,APV_17,,B,<12mo,CCR5,UNITED STATES,2002.0,DQ869023,,Yes,APV_17,panel,B.US.2002.APV_17.DQ869023,22.5258,14.59: Walker2009a;34.778: Walker2011
306,APV_6,,B,<12mo,CCR5,UNITED STATES,2003.0,DQ869030,,Yes,APV6,panel,B.US.2003.APV_6.DQ869030,0.14738,0.12: Walker2009a;0.181: Walker2011
