,PG9,10-1074,PGT121,b12,2G12,3BNC117,PGDM1400,2F5,VCR01,4E10
109,20.0,100.0,40.0,100.0,50.0,0.013,0.005,100.0,0.03,15.4
110,20.0,0.041,0.033801,100.0,50.0,0.02,0.004,100.0,0.061,1.14
111,0.074192,0.011,0.012,0.12567,21.15,0.025,0.003,100.0,0.118,100.0
112,20.0,0.032,0.038,5.39,50.0,0.015,0.022,100.0,0.172,44.77
113,0.01,0.028,0.981,100.0,100.0,0.117,0.019,100.0,0.081,5.74
114,2.42,100.0,0.04,100.0,50.0,0.032,0.017,46.58,0.129,13.77
115,0.04,100.0,0.004,3.49907,100.0,0.128,0.002,100.0,0.214,17.23
116,0.34,100.0,100.0,100.0,100.0,0.099,0.017,45.96,0.094,3.97
117,20.0,100.0,100.0,50.0,100.0,0.184,0.001,100.0,0.109,25.92
118,20.0,100.0,100.0,100.0,100.0,0.159,0.387,100.0,0.051,22.1
119,0.1,0.305,100.0,15.0854,100.0,0.161,0.114,100.0,0.113,50.0
120,1.04128,100.0,100.0,50.0,100.0,0.161,0.2,3.95,0.127,1.74
121,0.041091,0.286,0.05,20.0664,100.0,0.133,0.396,0.96,0.098,0.47
122,0.01,0.337,0.029,100.0,100.0,0.179,0.724,100.0,0.14,41.6
123,0.03,0.242,0.032,2.35521,2.1,0.004,0.404,4.7,0.989,4.2906
124,0.24453,0.878,0.051,100.0,100.0,0.16,0.327,100.0,0.306,3.13
125,0.033705,100.0,0.058,100.0,2.07,0.134,0.452,100.0,1.514,22.2
126,0.024436,100.0,100.0,12.9,100.0,0.263,0.31,100.0,1.037,29.0
127,0.14003,0.557,100.0,50.0,100.0,0.003,0.367,45.56,2.235,3.48
128,0.052446,100.0,100.0,36.9,100.0,0.369,3.358,100.0,1.284,17.07
129,0.035202,0.446,100.0,16.64,100.0,0.345,100.0,100.0,1.716,8.28
130,1.21424,100.0,100.0,100.0,100.0,0.187,1.968,100.0,1.009,4.0
131,0.025559,0.104,100.0,50.0,50.0,0.107,100.0,100.0,1.423,6.6
132,0.13742,0.1,0.012,100.0,50.0,0.238,100.0,13.8791,0.18,19.6631
133,0.28247,0.023,0.007,100.0,100.0,0.316,100.0,0.24,0.019,0.57
134,1.47424,0.037,0.013,0.8065,38.3,0.103,100.0,100.0,0.125,3.9
